Indicator,Disaggregations,Number of disaggregations
#1-2-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#1-4-2,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#15-1-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#16-1-4,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#16-2-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#16-5-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#16-6-2,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#16-7-2,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#16-9-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#16-b-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#17-8-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#2-2-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#2-2-2,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#3-1-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#3-1-2,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#3-2-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#3-2-2,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#3-6-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#3-7-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#3-a-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#3-b-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#4-2-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#5-2-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#5-3-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#5-3-2,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#5-5-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#5-6-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#5-a-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#5-b-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#6-1-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#6-2-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#7-1-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#7-1-2,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#8-1-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#8-10-2,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#8-3-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#8-5-2,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#8-6-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#8-7-1,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
#9-2-2,"seriesdescription, geoarea, sex, age, location, disability, unit, TIME_DETAIL",8
