Value,Disaggregation combinations using this value,Number of indicators
AG_LND_FRST,3,1
EG_ACS_ELEC,3,1
EG_EGY_CLEAN,3,1
FB_BNK_ACCSS,3,1
IT_MOB_OWN,3,1
IT_USE_II99,3,1
IU_COR_BRIB,3,1
IU_DMK_ICRS,3,1
NY_GDP_PCAP,3,1
SE_DEV_ONTRK,3,1
SG_GEN_LOCG,1,1
SG_REG_BRTH,3,1
SH_ACS_VACN,3,1
SH_DYN_MORT,3,1
SH_DYN_NMRT,3,1
SH_FPL_INFM,1,1
SH_FPL_MTMM,2,1
SH_H2O_SAFE,3,1
SH_PRV_SMOK,3,1
SH_SAN_SAFE,3,1
SH_STA_BRTC,2,1
SH_STA_FGMS,2,1
SH_STA_MORT,2,1
SH_STA_STNT,6,1
SH_STA_TRAF,3,1
SH_STA_WAST,3,1
SI_POV_NAHC,1,1
SL_ISV_IFRM,3,1
SL_TLF_CHLDEA,3,1
SL_TLF_MANF,3,1
SL_TLF_NEET,3,1
SL_TLF_UEM,6,1
SP_DYN_MRBF15,1,1
SP_DYN_MRBF18,1,1
SP_LGL_LNDAGSEC,3,1
SP_LGL_LNDDOC,3,1
SP_PSR_SATIS,3,1
VC_SNS_WALN,3,1
VC_VAW_MARR,2,1
VC_VAW_PHYPYV,3,1
VC_VAW_PHYV,1,1
VC_VAW_PSYV,1,1
VC_VAW_SEXV,1,1
VC_VOV_DCMN,3,1
