Year,SERIES,REF_AREA,SEX,AGE,location,EDUCATION_LEV,OCCUPATION,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2016,FORT_MGT_NCR,ZM,_T,_T,_T,_T,_T,_T,_T,NUMBER,0,2016,-0.1
2017,FORT_MGT_NCR,ZM,_T,_T,_T,_T,_T,_T,_T,NUMBER,0,2017,-0.41
2016,FORT_MGT_AGBS,ZM,_T,_T,_T,_T,_T,_T,_T,NUMBER,0,2016,44.0
2017,FORT_MGT_AGBS,ZM,_T,_T,_T,_T,_T,_T,_T,NUMBER,0,2017,44.0
2016,FORT_MGT_LEPA,ZM,_T,_T,_T,_T,_T,_T,_T,NUMBER,0,2016,69.6
2017,FORT_MGT_LEPA,ZM,_T,_T,_T,_T,_T,_T,_T,NUMBER,0,2017,69.57
2016,FORT_MGT_LTFMP,ZM,_T,_T,_T,_T,_T,_T,_T,NUMBER,0,2016,69.6
2017,FORT_MGT_LTFMP,ZM,_T,_T,_T,_T,_T,_T,_T,NUMBER,0,2017,69.57
2016,FORT_MGT_FMC,ZM,_T,_T,_T,_T,_T,_T,_T,NUMBER,0,2016,0.0
2017,FORT_MGT_FMC,ZM,_T,_T,_T,_T,_T,_T,_T,NUMBER,0,2017,0.0
