Year,seriesdescription,geoarea,sex,age,location,education-level,occupation,comp-breakdown,disability-status,unit,scale,Value
2017,SL_EMP_EARN,ZM,F,_T,_T,_T,ISCO08_1,_T,_T,CUR_LCU,1,53.0
2017,SL_EMP_EARN,ZM,F,_T,_T,_T,ISCO08_2,_T,_T,CUR_LCU,1,38.0
2017,SL_EMP_EARN,ZM,F,_T,_T,_T,ISCO08_3,_T,_T,CUR_LCU,1,52.0
2017,SL_EMP_EARN,ZM,F,_T,_T,_T,ISCO08_4,_T,_T,CUR_LCU,1,25.0
2017,SL_EMP_EARN,ZM,F,_T,_T,_T,ISCO08_5,_T,_T,CUR_LCU,1,12.0
2017,SL_EMP_EARN,ZM,F,_T,_T,_T,ISCO08_6,_T,_T,CUR_LCU,1,28.0
2017,SL_EMP_EARN,ZM,F,_T,_T,_T,ISCO08_7,_T,_T,CUR_LCU,1,34.0
2017,SL_EMP_EARN,ZM,F,_T,_T,_T,ISCO08_8,_T,_T,CUR_LCU,1,18.0
2017,SL_EMP_EARN,ZM,F,_T,_T,_T,ISCO08_9,_T,_T,CUR_LCU,1,12.0
2017,SL_EMP_EARN,ZM,F,_T,_T,_T,ISCO08_X,_T,_T,CUR_LCU,1,20.0
2017,SL_EMP_EARN,ZM,F,_T,_T,_T,_T,_T,_T,CUR_LCU,1,24.0
2017,SL_EMP_EARN,ZM,F,Y_GE70,_T,_T,_T,_T,_T,CUR_LCU,1,51.0
2017,SL_EMP_EARN,ZM,F,Y15T19,_T,_T,_T,_T,_T,CUR_LCU,1,72.0
2017,SL_EMP_EARN,ZM,F,Y20T24,_T,_T,_T,_T,_T,CUR_LCU,1,118.0
2017,SL_EMP_EARN,ZM,F,Y25T29,_T,_T,_T,_T,_T,CUR_LCU,1,147.0
2017,SL_EMP_EARN,ZM,F,Y30T34,_T,_T,_T,_T,_T,CUR_LCU,1,148.0
2017,SL_EMP_EARN,ZM,F,Y35T39,_T,_T,_T,_T,_T,CUR_LCU,1,131.0
2017,SL_EMP_EARN,ZM,F,Y40T44,_T,_T,_T,_T,_T,CUR_LCU,1,180.0
2017,SL_EMP_EARN,ZM,F,Y46T49,_T,_T,_T,_T,_T,CUR_LCU,1,177.0
2017,SL_EMP_EARN,ZM,F,Y50T54,_T,_T,_T,_T,_T,CUR_LCU,1,128.0
2017,SL_EMP_EARN,ZM,F,Y55T59,_T,_T,_T,_T,_T,CUR_LCU,1,119.0
2017,SL_EMP_EARN,ZM,F,Y60T64,_T,_T,_T,_T,_T,CUR_LCU,1,143.0
2017,SL_EMP_EARN,ZM,F,Y65T69,_T,_T,_T,_T,_T,CUR_LCU,1,92.0
2017,SL_EMP_EARN,ZM,M,_T,_T,_T,ISCO08_1,_T,_T,CUR_LCU,1,62.0
2017,SL_EMP_EARN,ZM,M,_T,_T,_T,ISCO08_2,_T,_T,CUR_LCU,1,33.0
2017,SL_EMP_EARN,ZM,M,_T,_T,_T,ISCO08_3,_T,_T,CUR_LCU,1,40.0
2017,SL_EMP_EARN,ZM,M,_T,_T,_T,ISCO08_4,_T,_T,CUR_LCU,1,22.0
2017,SL_EMP_EARN,ZM,M,_T,_T,_T,ISCO08_5,_T,_T,CUR_LCU,1,11.0
2017,SL_EMP_EARN,ZM,M,_T,_T,_T,ISCO08_6,_T,_T,CUR_LCU,1,26.0
2017,SL_EMP_EARN,ZM,M,_T,_T,_T,ISCO08_7,_T,_T,CUR_LCU,1,17.0
2017,SL_EMP_EARN,ZM,M,_T,_T,_T,ISCO08_8,_T,_T,CUR_LCU,1,13.0
2017,SL_EMP_EARN,ZM,M,_T,_T,_T,ISCO08_9,_T,_T,CUR_LCU,1,13.0
2017,SL_EMP_EARN,ZM,M,_T,_T,_T,ISCO08_X,_T,_T,CUR_LCU,1,35.0
2017,SL_EMP_EARN,ZM,M,_T,_T,_T,_T,_T,_T,CUR_LCU,1,20.0
2017,SL_EMP_EARN,ZM,M,Y_GE70,_T,_T,_T,_T,_T,CUR_LCU,1,90.0
2017,SL_EMP_EARN,ZM,M,Y15T19,_T,_T,_T,_T,_T,CUR_LCU,1,0.0
2017,SL_EMP_EARN,ZM,M,Y20T24,_T,_T,_T,_T,_T,CUR_LCU,1,162.0
2017,SL_EMP_EARN,ZM,M,Y25T29,_T,_T,_T,_T,_T,CUR_LCU,1,168.0
2017,SL_EMP_EARN,ZM,M,Y30T34,_T,_T,_T,_T,_T,CUR_LCU,1,169.0
2017,SL_EMP_EARN,ZM,M,Y35T39,_T,_T,_T,_T,_T,CUR_LCU,1,162.0
2017,SL_EMP_EARN,ZM,M,Y40T44,_T,_T,_T,_T,_T,CUR_LCU,1,180.0
2017,SL_EMP_EARN,ZM,M,Y46T49,_T,_T,_T,_T,_T,CUR_LCU,1,159.0
2017,SL_EMP_EARN,ZM,M,Y50T54,_T,_T,_T,_T,_T,CUR_LCU,1,156.0
2017,SL_EMP_EARN,ZM,M,Y55T59,_T,_T,_T,_T,_T,CUR_LCU,1,139.0
2017,SL_EMP_EARN,ZM,M,Y60T64,_T,_T,_T,_T,_T,CUR_LCU,1,137.0
2017,SL_EMP_EARN,ZM,M,Y65T69,_T,_T,_T,_T,_T,CUR_LCU,1,119.0
