Year,seriesdescription,geoarea,sex,age,location,education-level,occupation,comp-breakdown,disability-status,unit,TIME_DETAIL,Value
2016,POP_GRZ_CASHTRANS,ZM,_T,_T,_T,_T,_T,_T,_T,Percent,2016,1.46
2017,POP_GRZ_CASHTRANS,ZM,_T,_T,_T,_T,_T,_T,_T,Percent,2017,3.45
2016,POP_GRZ_PWAS,ZM,_T,_T,_T,_T,_T,_T,_T,Percent,2016,0.3
2017,POP_GRZ_PWAS,ZM,_T,_T,_T,_T,_T,_T,_T,Percent,2017,0.78
2016,POP_GRZ_FSPAC,ZM,_T,_T,_T,_T,_T,_T,_T,Percent,2016,0.18
2017,POP_GRZ_FSPAC,ZM,_T,_T,_T,_T,_T,_T,_T,Percent,2017,0.23
2016,POP_GRZ_HGSF,ZM,_T,_T,_T,_T,_T,_T,_T,Percent,2016,6.03
2017,POP_GRZ_HGSF,ZM,_T,_T,_T,_T,_T,_T,_T,Percent,2017,7.31
2016,POP_GRZ_WOMEMP,ZM,_T,_T,_T,_T,_T,_T,_T,Percent,2016,0.04
2017,POP_GRZ_WOMEMP,ZM,_T,_T,_T,_T,_T,_T,_T,Percent,2017,0.02
2016,POP_GRZ_YOTHEMP,ZM,_T,_T,_T,_T,_T,_T,_T,Percent,2016,0.0
2017,POP_GRZ_YOTHEMP,ZM,_T,_T,_T,_T,_T,_T,_T,Percent,2017,0.0
