Year,seriesdescription,geoarea,sex,age,location,education-level,occupation,comp-breakdown,disability-status,unit,TIME_DETAIL,Value
2017,SL_EMP_EARN,ZM,F,_T,_T,_T,ISCO08_1,_T,_T,CUR_LCU,2017,53.0
2017,SL_EMP_EARN,ZM,F,_T,_T,_T,ISCO08_2,_T,_T,CUR_LCU,2017,38.0
2017,SL_EMP_EARN,ZM,F,_T,_T,_T,ISCO08_3,_T,_T,CUR_LCU,2017,52.0
2017,SL_EMP_EARN,ZM,F,_T,_T,_T,ISCO08_4,_T,_T,CUR_LCU,2017,25.0
2017,SL_EMP_EARN,ZM,F,_T,_T,_T,ISCO08_5,_T,_T,CUR_LCU,2017,12.0
2017,SL_EMP_EARN,ZM,F,_T,_T,_T,ISCO08_6,_T,_T,CUR_LCU,2017,28.0
2017,SL_EMP_EARN,ZM,F,_T,_T,_T,ISCO08_7,_T,_T,CUR_LCU,2017,34.0
2017,SL_EMP_EARN,ZM,F,_T,_T,_T,ISCO08_8,_T,_T,CUR_LCU,2017,18.0
2017,SL_EMP_EARN,ZM,F,_T,_T,_T,ISCO08_9,_T,_T,CUR_LCU,2017,12.0
2017,SL_EMP_EARN,ZM,F,_T,_T,_T,ISCO08_X,_T,_T,CUR_LCU,2017,20.0
2017,SL_EMP_EARN,ZM,F,_T,_T,_T,_T,_T,_T,CUR_LCU,2017,24.0
2017,SL_EMP_EARN,ZM,F,Y_GE70,_T,_T,_T,_T,_T,CUR_LCU,2017,51.0
2017,SL_EMP_EARN,ZM,F,Y15T19,_T,_T,_T,_T,_T,CUR_LCU,2017,72.0
2017,SL_EMP_EARN,ZM,F,Y20T24,_T,_T,_T,_T,_T,CUR_LCU,2017,118.0
2017,SL_EMP_EARN,ZM,F,Y25T29,_T,_T,_T,_T,_T,CUR_LCU,2017,147.0
2017,SL_EMP_EARN,ZM,F,Y30T34,_T,_T,_T,_T,_T,CUR_LCU,2017,148.0
